t, x, y, z, e_y1, e_y2, e_y3, p0, p1, p2, p3, norm_P
4.704704704704704699e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.633986274596162911e-10, 1.000000000000000000e+00, 5.087287313958753367e-10, -7.529196386502123861e-03, -4.333266711079734254e-10, -9.993333279072973419e-01, -2.509444391609589541e-10, 9.993616908129411280e-01
4.804804804804804763e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.064703206928969019e-09, 1.000000000000000000e+00, 3.718105717965582635e-10, 9.227966870666043375e-02, -5.123509073501001426e-10, -9.946550026291711699e-01, -2.340368522370917472e-10, 9.989264795328270941e-01
4.904904904904904828e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.253488530526294748e-09, 1.000000000000000000e+00, 1.752999758080279401e-10, 1.911749283445730030e-01, -5.976246782186800059e-10, -9.802740805576833916e-01, -2.057388013055535950e-10, 9.987417715509671057e-01
5.005005005005005447e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.415027845326185893e-09, 1.000000000000000000e+00, -8.372655342347353640e-11, 2.881966658968925787e-01, -6.886958624603107723e-10, -9.563500929304967757e-01, -1.638672050134907285e-10, 9.988307256398628597e-01
5.105105105105105512e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.533353001853501038e-09, 1.000000000000000000e+00, -4.050226731387392295e-10, 3.823849647332740465e-01, -7.851123388215887514e-10, -9.230425709852748684e-01, -1.062389820080501800e-10, 9.991125307517534360e-01
5.205205205205205576e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.591887575355868426e-09, 1.000000000000000000e+00, -7.850785780347546507e-10, 4.727799082233741790e-01, -8.864219860491119069e-10, -8.805110459596805494e-01, -3.067105093637828371e-11, 9.994100978460808138e-01
5.305305305305305641e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.565757048713037319e-09, 1.000000000000000000e+00, -1.213666286389408350e-09, 5.588377871716885270e-01, -9.882181393027730932e-10, -8.291156650527929939e-01, 6.563276292032023376e-11, 9.998662202549323252e-01
5.405405405405405705e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.439055360549068844e-09, 1.000000000000000000e+00, -1.680710358373062946e-09, 6.394574189257352659e-01, -1.090921519442549690e-09, -7.693243508962024357e-01, 1.863983894759647566e-10, 1.000382800482408685e+00
5.505505505505505770e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.207574118058741052e-09, 1.000000000000000000e+00, -2.177630688179810599e-09, 7.129900526475252409e-01, -1.199876737691381667e-09, -7.015092851877157143e-01, 3.333199067286808528e-10, 1.000235018572585677e+00
5.605605605605605835e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.472399975021892386e-10, 1.000000000000000000e+00, -2.678039157045412977e-09, 7.790435254511425267e-01, -1.308578259369765246e-09, -6.265608966806301972e-01, 5.089588905134450538e-10, 9.997436530414085532e-01
5.705705705705705899e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.403621681172576719e-10, 1.000000000000000000e+00, -3.147798730653609743e-09, 8.372256744506709758e-01, -1.410520549798197476e-09, -5.453696141282429188e-01, 7.158769166652341235e-10, 9.991870925776460410e-01
5.805805805805805964e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -3.223970119891397907e-10, 1.000000000000000000e+00, -3.546570841445926295e-09, 8.871443367601947738e-01, -1.499198074297174991e-09, -4.588258662838514690e-01, 9.566355610190246707e-10, 9.987723713723826169e-01
5.905905905905906028e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.140527237115600006e-09, 1.000000000000000000e+00, -3.829913044181521204e-09, 9.284073494937978843e-01, -1.568105298187194424e-09, -3.678200819007528821e-01, 1.233796399409793511e-09, 9.986149504406468536e-01
6.006006006006006093e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.102881191019321649e-09, 1.000000000000000000e+00, -3.951677261090095774e-09, 9.606225497655644929e-01, -1.610736686788752619e-09, -2.732426897322444148e-01, 1.549921007672517357e-09, 9.987278160791387416e-01
6.106106106106106157e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -3.187649746580059572e-09, 1.000000000000000000e+00, -3.866338972430898399e-09, 9.833977746895785632e-01, -1.620586705422346208e-09, -1.759841185316235457e-01, 1.907570961642172301e-09, 9.990203167302292853e-01
6.206206206206206222e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -4.362932639639139275e-09, 1.000000000000000000e+00, -3.530880958879471620e-09, 9.963408613799240587e-01, -1.591149819408471828e-09, -7.693479705218742026e-02, 2.309307837153735675e-09, 9.993067972613567385e-01
6.306306306306306286e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.561929593678081421e-09, 1.000000000000000000e+00, -2.882205616212430186e-09, 9.995590027371563657e-01, -1.505281120426490004e-09, 2.330624062116718603e-02, 2.746151710170007165e-09, 9.998306760670979676e-01
6.406406406406406351e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -6.747360725929297276e-09, 1.000000000000000000e+00, -1.899275338069721105e-09, 9.926296422689563359e-01, -1.358883440737861015e-09, 1.233800764316875243e-01, 3.231648763631471326e-09, 1.000268089049773268e+00
6.506506506506506415e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -7.877528271952116608e-09, 1.000000000000000000e+00, -5.724020084220887386e-10, 9.751584143887737088e-01, -1.152863660367787099e-09, 2.218392147232096656e-01, 3.777428383462609553e-09, 1.000073282485957504e+00
6.606606606606606480e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -8.844511146282357142e-09, 1.000000000000000000e+00, 1.132032066553512259e-09, 9.476755190057493117e-01, -8.692939577612453549e-10, 3.178679912576583000e-01, 4.370781724969943781e-09, 9.995643797119798668e-01
6.706706706706706544e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -9.526708875718855655e-09, 1.000000000000000000e+00, 3.219085463665668189e-09, 9.107111560290237495e-01, -4.902465113632128832e-10, 4.106507417969580409e-01, 4.998999943459995530e-09, 9.990139345645349112e-01
6.806806806806806609e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -9.795905759854605709e-09, 9.999999999999998890e-01, 5.661699175895627479e-09, 8.647955253677376275e-01, 2.206500381333629613e-12, 4.993718021030333354e-01, 5.649374194239285083e-09, 9.986207976162384536e-01
6.906906906906906674e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -9.525238704359090536e-09, 9.999999999999998890e-01, 8.399257927788334407e-09, 8.104588269310315507e-01, 6.259928990274166699e-10, 5.832155079378092966e-01, 6.309195632614336856e-09, 9.984907805531209046e-01
7.007007007007006738e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -8.597032306191122161e-09, 9.999999999999998890e-01, 1.133856336117271573e-08, 7.482312606280461242e-01, 1.399040506130059655e-09, 6.613661950632101494e-01, 6.965755413891670303e-09, 9.986266886847272595e-01
7.107107107107106803e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -6.909371086725457678e-09, 9.999999999999998890e-01, 1.435685561642526197e-08, 6.786430263679221753e-01, 2.339277143244285380e-09, 7.330081992411608960e-01, 7.606344693377806532e-09, 9.989281142267354419e-01
7.207207207207206867e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -4.380583797018722946e-09, 9.999999999999998890e-01, 1.730586689085022951e-08, 6.022243240598001979e-01, 3.464630631925115609e-09, 7.973258562335857613e-01, 8.218254626379269133e-09, 9.992010095610912579e-01
7.307307307307306932e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -9.087189444107005007e-10, 9.999999999999997780e-01, 1.989238916411163956e-08, 5.195514015031872379e-01, 4.779450575352791963e-09, 8.541887714895232131e-01, 8.731990831612550482e-09, 9.997860351808816048e-01
7.407407407407406996e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.501372340419519081e-09, 9.999999999999997780e-01, 2.202769086312428120e-08, 4.315620944689596006e-01, 6.332708949895471067e-09, 9.022466585795183569e-01, 9.181675448364672900e-09, 1.000147426282916197e+00
7.507507507507507061e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.832915025452239702e-09, 9.999999999999996669e-01, 2.353779236476495015e-08, 3.392457228955972903e-01, 8.146670607883647630e-09, 9.406006743725874308e-01, 9.571567364227461710e-09, 9.999086403932725409e-01
7.607607607607607125e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.503758380618904316e-08, 9.999999999999995559e-01, 2.406824446804695034e-08, 2.435750024291979399e-01, 1.021878348192834613e-08, 9.692477493017799262e-01, 9.832656134088879671e-09, 9.993848014328364782e-01
